Date,Name,Media Type,Tools Used,Work Description,External Website
6/2/2026,"""Human or AI?""",Python Animation,"Media Mesh, Nodes, Linux","Pullinh data from an AI training dataset, ""Human or AI"" uses Mandeville's art gallery media mesh to play a game with viewers. Training human viewers whether or not they are able to differentiate between human and AI generated responses. This project explores the assertion of AI generated content and tools in our daily lives.",
3/18/2026,"""The Wait""",Interactive Experience,"Blender, Unreal Engine","My final project takes place in an occupied hospital room, where the player is forced to confront a painfully long experience of waiting for someone in the operating room. My goal with this experience was to create a sense of anxiety for the player as they move through the room. By developing this project, I hoped to achieve the “empathy” that Alain Berthoz writes of, through embodiment. By placing the player inside a simple room where they interact with time and space, they are forced to confront several questions regarding their situation. Such as who are they waiting for and what sort of event occurred for them to be in this situation.",
3/12/2026,"""Sam and Me""",2D Narrative Game,"Photoshop, Tiled, OpenCV, Mediapipe, and Phaser","This project aims to challenge the meaning of labor in games and storytelling by treating physical movement, or “labor,” as a narrative language. The player’s labor becomes essential in progressing through the game, rewarding the player for skills outside of traditional video games. Using real-time motion tracking of the player’s hand as a method of moving and controlling character interaction, players are able to further immerse themselves in a narrative game.",Sam and Me Website
12/9/2025,"""A Welfare Thanksgiving""",Video,"Carl Zeiss Handheld camera, Adobe Priemiere Pro","Ten obstructions, three must be used:
Silent, One take, no edits, Animated part, All handheld, Black and white only, No English, Must have a burger eaten in the film, No faces, All close up, All shot outside at night",
12/4/2025,"""Intruder""",Mechatronic Art,Arduino Microcontroller,"Intruder questions the relationship between human curiosity and invasion of privacy. Inside the wooden house-like box, a female figure can be seen through the window, however, once the viewer approaches the window the mechanical system will draw the curtains on the observer. Walter Benjamin describes aura as the unique presence of an artwork that is often diminished by reproduction. Intruder, using reproduced materials, highlights how one’s presence threatens the safety and privacy of an artwork’s home. Intruder creates a sense of distance and presence by denying the viewer’s gaze, before intimacy becomes violation.",
11/14/2025,"""Growing Pains""",Video,Adobe Priemiere Pro,"Cannot film any new media, can only use media found online. A test of editing and storytelling.",
12/14/2024,"""The Living Room Cafe""",Video,"Videography, Directing",,
11/16/2024,"""black bean noodle""",Video,"Adobe Priemiere Pro, Disposable Camera","A short film about identity, cultural experiences and growth that comes with moving frequently.",
6/4/2025,Chasing,Interactive Experience,TouchDesigner,"The concept for this project is about chasing. The user is given a frustratingly small and blurry lens to interact with, and must do their best to see themselves wholly. In this way, the piece is reflective of how we continuously seek a better, newer, and more complete version of ourselves. Although this piece can be interpreted in different ways, for me, I felt that this piece is representative of how I’m constantly trying to find myself, chasing who I’m supposed to be. This project works by using the jweb media pipe hand gesture detection, which then uses your hand’s (x,y) position to move a masked shape within the patch. If I were to expand this project, I would definitely try to figure out how to make multiple masks so that it’s not solely reliant on one hand. I would also try to use particle generators (which was extremely difficult for me during the earlier stages of this project, ultimately causing me to run out of time). I imagine this project being exhibited in a dark corner of a museum where people are somewhat enclosed, and can interact with the piece by themselves. I wanted to create a reflective piece rather than a collaborative one.",
4/29/2024,VIS145B Midterm,Visual Performance,"Midi Controller, MaxMSP","Inspired by Stan Brakhage’s Dog Star Man, I wanted to create my own video-essay performance where I recreate the feeling of escapism. I wanted to create a performance of nostalgia, where I play a video collage of my younger self overlaid with memories of growing up and experiencing new people and adventures.",
3/23/2021,"""Check Your Bed""",Video,"Premiere Pro, Procreate, Canva",When I made fun gaming youtube videos when no one could go outside.,
3/21/2021,"""day of bedwars""",Video,"Premiere Pro, Procreate, Canva",When I made fun gaming youtube videos when no one could go outside.,
3/12/2021,"""when u fall in love with bedwars""",Video,"Premiere Pro, Procreate, Canva",When I made fun gaming youtube videos when no one could go outside.,
2/11/2022,Adrenal Gland (Medulla),Video,"Premiere Pro, Procreate",Animated scientific video explanation of how the adrenal gland medulla works within the human body. A school project.,
